equip_id,calibration_request_date,submission_time_calib,submission_date_calib,maintenance_request_date,submission_time_maint,submission_date_maint,manufacturer,facility,equip_type,equip_type_other,lab_level,lab_level_is_other,ownership_type,ownership_type_is_other,waranty_status,equipment_status,equipment_purchase_status,manual_availability,manufacture_date,freq_service_maintenance,freq_calibration,date_active,engineering_service_provider_email_address,latitude,longitude,retirement_flag,engineering_service_provider,most_recent_calibration,most_recent_maintenance,submission_time,submission_date,activity_required_maint,activity_required_calib,submitted_by,next_expected_calibration,next_expected_maintenance
1,NA,NA,NA,NA,NA,NA,"NA",Maitama-District-Hospital,autoclave,NA,secondary,NA,Government,NA,No,functional,purchased,no,NA,0,0,2000-01-01,"NA",9.086641,7.481147,No,"NA",NA,NA,2020-11-24T11:12:10Z,NA,No,No,NA,2050-01-01,2050-01-01
16,NA,NA,NA,NA,NA,NA,AWARENESS TECHNOLOGY INC.,Maitama-District-Hospital,other,CHEMWELL CHEMISTRY AUTO ANALYZER,secondary,NA,Government,NA,No,non-functional,purchased,yes,NA,180,90,2007-06-01,sales@darlezmedical.com,9.086714,7.481278,No,DARLEZ NIG. LIMITED,NA,NA,2020-11-24T11:36:01Z,NA,No,No,NA,2007-08-20,2007-11-18
17-01-1313,NA,NA,NA,NA,NA,NA,Hawsley,General-Hospital-Bwari,Centrifuge,NA,secondary,NA,Government,NA,No,functional,purchased,yes,NA,180,180,2017-08-25,1st Avenue  Gwarinpa,NA,NA,No,Prolab,2020-05-07,2020-05-07,2020-12-01T12:01:44Z,NA,Yes,Yes,NA,2020-10-24,2020-10-24
17-01-173,NA,NA,NA,NA,NA,NA,Hawksley,General-Hospital-Bwari,Centrifuge,haematocrit,secondary,NA,Government,NA,No,functional,purchased,yes,NA,180,180,2017-08-25,prolab.20@gmail.com,NA,NA,No,Prolab,NA,NA,2020-12-02T10:51:11Z,NA,Yes,Yes,NA,2018-02-11,2018-02-11
2,NA,NA,NA,NA,NA,NA,ALDATIS SRL,Maitama-District-Hospital,other,ELISA,secondary,NA,Government,NA,No,non-functional,purchased,yes,NA,365,180,2010-01-01,info@dcllabs.com,9.0867540000000009,7.481283,No,DCL LABORATORY PRODUCT LTD,2018-04-25,2018-04-25,2020-11-24T11:18:03Z,NA,No,No,NA,2018-10-12,2019-04-15
20,NA,NA,NA,NA,NA,NA,"NA",Maitama-District-Hospital,oven,DRY OVEN DHG 9101,secondary,NA,Government,NA,No,functional,purchased,no,NA,0,0,2010-01-01,"NA",9.086714,7.481278,No,"NA",NA,NA,2020-11-24T11:37:08Z,NA,No,No,NA,2050-01-01,2050-01-01
22,NA,NA,NA,NA,NA,NA,ELECTROPHORESIS MACHINE,Maitama-District-Hospital,other,GENOTYPE ANALYSIS,secondary,NA,Government,NA,No,functional,purchased,no,NA,0,0,2013-01-01,NIL,9.086714,7.481278,No,NIL,NA,NA,2020-11-24T11:40:36Z,NA,No,No,NA,2050-01-01,2050-01-01
23,NA,NA,NA,NA,NA,NA,RAYTO,Maitama-District-Hospital,microplate-washer,NA,secondary,NA,Government,NA,No,functional,purchased,yes,NA,365,365,2017-03-03,08038464884,9.086663,7.481225,No,SEGESONEC INTL. & CO. LTD.,NA,NA,2020-11-24T13:56:26Z,NA,Yes,Yes,NA,2018-02-21,2018-02-21
25,NA,NA,NA,NA,NA,NA,"BSI-INSTRUMENT DIVISION, FLORENCE ITALY",Maitama-District-Hospital,other,EVOLUTION 3000 SPECTROPHOTOMETER,secondary,NA,Government,NA,No,functional,purchased,yes,NA,120,0,2016-08-23,dipasraven@yahoo.com,9.086714,7.481278,No,DIPAS RAVEN LIMITED,NA,NA,2020-11-24T13:56:26Z,NA,Yes,No,NA,2050-01-01,2016-12-11
26,NA,NA,NA,NA,NA,NA,NA,Maitama-District-Hospital,other,FLEXOR JUNIOR CHEMISTRY AUTO ANALYZER,primary,NA,Government,NA,No,non-functional,purchased,yes,NA,0,0,2010-05-05,"NA",9.086714,7.481278,No,"NA",NA,NA,2020-11-24T13:56:27Z,NA,No,No,NA,2050-01-01,2050-01-01
3,NA,NA,NA,NA,NA,NA,JIANGSU MED. TECH.CO.LTD,Maitama-District-Hospital,other,ION SELECTIVE ELECTROLYTE ANALYZER,secondary,NA,Government,NA,No,functional,purchased,yes,NA,120,7,2016-07-27,dipasraven@yahoo.com,9.08674,7.481212,No,DIPAS RAVEN LIMITED,NA,NA,2020-11-24T11:32:15Z,NA,Yes,Yes,NA,2016-07-24,2016-11-14
Authomatic Weighing Balance,NA,NA,NA,NA,NA,NA,DEA biomedical GMBH,NEQAL,analytical-balance,NA,secondary,NA,Government,NA,No,functional,donated,yes,NA,2,2,2013-07-30,IHVN,NA,NA,No,IHVN,2020-11-09,NA,2020-11-16T19:09:00Z,NA,Yes,Yes,NA,2020-11-01,2013-07-22
CX21,NA,NA,NA,NA,NA,NA,NA,General-Hospital-Bwari,microscope,NA,secondary,NA,Government,NA,No,functional,purchased,no,NA,180,180,2017-09-12,prolab.20@gmail.com,NA,NA,No,Prolab Maintenance and  consulting services,2020-05-07,2020-05-07,2020-12-02T10:59:03Z,NA,Yes,Yes,NA,2020-10-24,2020-10-24
DK 420,NA,NA,NA,NA,NA,NA,NA,General-Hospital-Bwari,water-bath,NA,secondary,NA,Government,NA,No,functional,purchased,no,NA,180,180,2017-09-12,prolab.20@gmail.com,NA,NA,No,Prolab Maintenance and consulting services,2020-05-12,2020-05-12,2020-12-02T11:07:28Z,NA,Yes,Yes,NA,2020-10-29,2020-10-29
E009,NA,NA,NA,NA,NA,NA,Homasy,NaLECC,other,Humidifier,Other,Public,Government,NA,Yes,functional,donated,yes,NA,0,365,2020-03-03,Support@homasy.com,9.018477,7.47229,No,Homasy,NA,NA,2020-11-06T11:12:54Z,NA,No,No,NA,2050-01-01,2050-01-01
E017,NA,NA,NA,NA,NA,NA,A&D company Ltd,NaLECC,analytical-balance,NA,Other,Public,Government,NA,No,functional,donated,yes,NA,365,365,2019-02-05,aolatokun@ihvnigeria.org,8.937136,7.327573,No,IHVN,2020-03-20,NA,2020-11-06T02:21:13Z,NA,Yes,No,NA,2050-01-01,2020-01-26
E018,NA,NA,NA,NA,NA,NA,A&D company Ltd,NaLECC,analytical-balance,NA,Other,Public,Government,NA,No,functional,donated,yes,NA,365,365,2019-02-05,aolatokun@ihvnigeria.org,8.937136,7.327573,No,IHVN,2020-03-20,NA,2020-11-06T02:27:31Z,NA,Yes,No,NA,2050-01-01,2020-01-26
E021,NA,NA,NA,NA,NA,NA,Homasy,NaLECC,other,Humidifier,Other,Public,Government,NA,Yes,functional,donated,yes,NA,0,365,2020-03-03,Support@homasy.com,9.018478,7.472293,No,Homasy,NA,NA,2020-11-06T11:18:40Z,NA,No,No,NA,2050-01-01,2050-01-01
E022,NA,NA,NA,NA,NA,NA,NA,NaLECC,hygrometer,NA,Other,Public,Government,NA,No,functional,donated,yes,NA,0,0,2020-03-03,aolatokun@ihvnigeria.org,9.018525,7.472301,No,IHVN,NA,NA,2020-11-06T15:01:11Z,NA,No,No,NA,2050-01-01,2050-01-01
E036,NA,NA,NA,NA,NA,NA,NA,NaLECC,hygrometer,NA,Other,Public,Government,NA,No,functional,donated,yes,NA,0,0,2020-03-03,aolatokun@ihvnigeria.org,9.018574,7.472308,No,IHVN,NA,NA,2020-11-06T14:56:29Z,NA,No,No,NA,2050-01-01,2050-01-01
E041,NA,NA,NA,NA,NA,NA,Extech,NaLECC,tachometer,NA,Other,Public,Government,NA,No,functional,donated,yes,NA,365,365,2018-05-10,aolatokun@ihvnigeria.org,8.937136,7.327573,No,IHVN,NA,NA,2020-11-06T03:28:20Z,NA,Yes,Yes,NA,2019-04-30,2019-04-30
E042,NA,NA,NA,NA,NA,NA,Extech,NaLECC,tachometer,NA,Other,Public,Government,NA,No,functional,donated,yes,NA,365,365,2019-02-05,aolatokun@ihvnigeria.org,8.937136,7.327573,No,IHVN,2020-03-20,NA,2020-11-06T03:36:08Z,NA,Yes,No,NA,2050-01-01,2020-01-26
E043,NA,NA,NA,NA,NA,NA,Fisherbrand,NaLECC,barometer,NA,Other,Public,Government,NA,Yes,functional,donated,yes,NA,0,720,2020-10-30,Support@traceable.com,9.018494,7.472292,No,Traceable products,2020-01-09,NA,2020-11-06T10:57:24Z,NA,No,No,NA,2050-01-01,2050-01-01
