serial_num,equip_type,manufacturer,manufacture_date,date_active,date_not_viable,facility,ownership_type,lab_level,calib_engineer_nm,calib_engineer_post,most_recent_calibration,next_calibration,most_recent_maintenance,next_maintenance,maintenance_engineer_nm,maintenance_engineer_post,retirement_date,retirement_requested,retirement_dt_requested,long,lat,last_altered
1,micropipettes,lab_equip_r_us,2017-02-16,2017-02-28,2019-02-16,Lab4,gov,district,tech3,affiliate3,2017-03-07,2017-06-05,2017-05-26,2017-11-22,tech1,affiliate1,2019-02-18,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
2,pcr_tube,quality_equip,2017-12-30,2018-01-25,2019-12-30,Lab4,gov,district,tech2,affiliate2,2018-03-05,2018-06-03,2018-03-18,2018-09-14,tech2,affiliate2,2020-01-15,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
3,micropipettes,best_labs,2017-05-28,2017-06-15,2019-05-28,Lab4,parochial,district,tech1,affiliate1,2017-08-08,2017-11-06,2017-08-23,2018-02-19,tech1,affiliate1,2019-06-05,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
4,pcr_tube,best_labs,2017-11-28,2017-12-05,2019-11-28,Lab3,gov,district,tech3,affiliate3,2017-12-06,2018-03-06,2018-02-10,2018-08-09,tech3,affiliate3,2019-11-25,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
5,spectrophotometer,quality_equip,2016-03-12,2016-03-17,2018-03-12,Lab4,gov,district,tech2,affiliate2,2016-04-28,2016-07-27,2016-04-26,2016-10-23,tech1,affiliate1,2018-03-07,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
6,CD4_CD8_counter,lab_equip_r_us,2017-06-27,2017-07-26,2019-06-27,Lab1,gov,regional,tech2,affiliate2,2017-09-01,2017-11-30,2017-10-24,2018-04-22,tech3,affiliate3,2019-07-16,,,9.767868700000008,4.0510564,2016-01-01T00:00:01Z
7,P24,lab_equip_r_us,2017-10-15,2017-11-06,2019-10-15,Lab4,parochial,district,tech3,affiliate3,2017-12-09,2018-03-09,2017-12-23,2018-06-21,tech2,affiliate2,2019-10-27,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
8,coulter,lab_equip_r_us,2017-04-26,2017-05-17,2019-04-26,Lab2,parochial,other,tech2,affiliate2,2017-05-28,2017-08-26,2017-07-03,2017-12-30,tech3,affiliate3,2019-05-07,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
9,micropipettes,lab_equip_r_us,2016-04-27,2016-05-03,2018-04-27,Lab3,private,national,tech1,affiliate1,2016-06-12,2016-09-10,2016-06-13,2016-12-10,tech1,affiliate1,2018-04-23,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
10,graduated_pipettes,lab_equip_r_us,2017-02-11,2017-03-02,2019-02-11,Lab2,gov,district,tech3,affiliate3,2017-04-23,2017-07-22,2017-04-04,2017-10-01,tech2,affiliate2,2019-02-20,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
11,hiv reagents,lab_equip_r_us,2016-10-01,2016-10-09,2018-10-01,Lab2,private,district,tech1,affiliate1,2016-11-03,2017-02-01,2016-12-22,2017-06-20,tech1,affiliate1,2018-09-29,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
12,CD4_CD8_counter,lab_equip_r_us,2017-12-08,2017-12-13,2019-12-08,Lab4,gov,regional,tech1,affiliate1,2018-01-06,2018-04-06,2018-02-21,2018-08-20,tech1,affiliate1,2019-12-03,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
13,micropipettes,lab_equip_r_us,2017-01-15,2017-02-07,2019-01-15,Lab2,private,district,tech2,affiliate2,2017-03-24,2017-06-22,2017-05-01,2017-10-28,tech3,affiliate3,2019-01-28,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
14,hiv reagents,lab_equip_r_us,2016-11-05,2016-11-27,2018-11-05,Lab,gov,district,tech3,affiliate3,2017-01-23,2017-04-23,2017-02-21,2017-08-20,tech1,affiliate1,2018-11-17,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
15,P24,lab_equip_r_us,2016-08-05,2016-08-13,2018-08-05,Lab2,private,regional,tech2,affiliate2,2016-10-08,2017-01-06,2016-09-25,2017-03-24,tech2,affiliate2,2018-08-03,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
16,spectrophotometer,quality_equip,2016-11-07,2016-12-01,2018-11-07,Lab3,gov,district,tech2,affiliate2,2017-01-23,2017-04-23,2017-01-13,2017-07-12,tech2,affiliate2,2018-11-21,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
17,P24,quality_equip,2016-10-27,2016-10-28,2018-10-27,Lab3,gov,regional,tech3,affiliate3,2016-11-16,2017-02-14,2017-01-05,2017-07-04,tech1,affiliate1,2018-10-18,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
18,spectrophotometer,lab_equip_r_us,2016-12-13,2016-12-24,2018-12-13,Lab3,gov,district,tech3,affiliate3,2017-02-13,2017-05-14,2017-02-11,2017-08-10,tech2,affiliate2,2018-12-14,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
19,CD4_CD8_counter,best_labs,2017-02-21,2017-03-23,2019-02-21,Lab4,gov,district,tech2,affiliate2,2017-03-24,2017-06-22,2017-05-05,2017-11-01,tech3,affiliate3,2019-03-13,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
20,graduated_pipettes,lab_equip_r_us,2017-09-04,2017-10-04,2019-09-04,Lab4,parochial,district,tech1,affiliate1,2017-10-22,2018-01-20,2017-11-21,2018-05-20,tech2,affiliate2,2019-09-24,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
21,spectrophotometer,lab_equip_r_us,2017-10-14,2017-11-11,2019-10-14,Lab3,gov,other,tech2,affiliate2,2017-12-12,2018-03-12,2018-01-30,2018-07-29,tech2,affiliate2,2019-11-01,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
22,P24,best_labs,2016-10-24,2016-11-01,2018-10-24,Lab2,gov,other,tech1,affiliate1,2016-11-05,2017-02-03,2017-01-06,2017-07-05,tech3,affiliate3,2018-10-22,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
23,graduated_pipettes,quality_equip,2016-09-20,2016-09-24,2018-09-20,Lab4,private,other,tech1,affiliate1,2016-10-22,2017-01-20,2016-12-03,2017-06-01,tech2,affiliate2,2018-09-14,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
24,micropipettes,lab_equip_r_us,2017-06-27,2017-07-16,2019-06-27,Lab,private,regional,tech1,affiliate1,2017-08-18,2017-11-16,2017-08-27,2018-02-23,tech2,affiliate2,2019-07-06,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
25,centrifuge,lab_equip_r_us,2016-07-17,2016-08-09,2018-07-17,Lab,private,regional,tech3,affiliate3,2016-08-13,2016-11-11,2016-10-16,2017-04-14,tech2,affiliate2,2018-07-30,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
26,P24,lab_equip_r_us,2016-07-29,2016-08-07,2018-07-29,Lab1,gov,regional,tech3,affiliate3,2016-08-18,2016-11-16,2016-10-17,2017-04-15,tech1,affiliate1,2018-07-28,,,9.767868700000008,4.0510564,2016-01-01T00:00:01Z
27,centrifuge,quality_equip,2017-03-17,2017-04-01,2019-03-17,Lab,gov,district,tech1,affiliate1,2017-04-11,2017-07-10,2017-06-04,2017-12-01,tech1,affiliate1,2019-03-22,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
28,coulter,lab_equip_r_us,2016-04-29,2016-05-19,2018-04-29,Lab2,gov,district,tech2,affiliate2,2016-06-08,2016-09-06,2016-08-01,2017-01-28,tech2,affiliate2,2018-05-09,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
29,pcr_machine,lab_equip_r_us,2017-08-28,2017-09-26,2019-08-28,Lab4,gov,district,tech3,affiliate3,2017-10-02,2017-12-31,2017-12-09,2018-06-07,tech3,affiliate3,2019-09-16,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
30,spectrophotometer,best_labs,2017-02-06,2017-02-17,2019-02-06,Lab1,gov,district,tech1,affiliate1,2017-03-30,2017-06-28,2017-05-04,2017-10-31,tech2,affiliate2,2019-02-07,,,9.767868700000008,4.0510564,2016-01-01T00:00:01Z
31,micropipettes,lab_equip_r_us,2017-08-27,2017-09-24,2019-08-27,Lab3,gov,district,tech3,affiliate3,2017-11-16,2018-02-14,2017-10-30,2018-04-28,tech2,affiliate2,2019-09-14,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
32,hiv reagents,lab_equip_r_us,2016-05-22,2016-06-05,2018-05-22,Lab2,gov,national,tech1,affiliate1,2016-07-26,2016-10-24,2016-08-18,2017-02-14,tech1,affiliate1,2018-05-26,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
33,CD4_CD8_counter,lab_equip_r_us,2017-04-26,2017-05-06,2019-04-26,Lab1,gov,regional,tech1,affiliate1,2017-07-01,2017-09-29,2017-06-12,2017-12-09,tech1,affiliate1,2019-04-26,,,9.767868700000008,4.0510564,2016-01-01T00:00:01Z
34,centrifuge,lab_equip_r_us,2016-01-14,2016-02-01,2018-01-13,Lab3,gov,other,tech1,affiliate1,2016-03-05,2016-06-03,2016-03-26,2016-09-22,tech3,affiliate3,2018-01-21,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
35,P24,quality_equip,2017-01-04,2017-01-17,2019-01-04,Lab2,gov,district,tech3,affiliate3,2017-03-11,2017-06-09,2017-04-13,2017-10-10,tech3,affiliate3,2019-01-07,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
